time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.742366837288277e-07,2.0452760242640423e-09,10.007468259025767,2.1900928528495456e-06,0.000515216959009912,0.0,-6.268213885907784e-05,2.041563376758767e-07,0.248920275920519,0.00010941200706741355,0.021800729334048738,0.0,480.6131542098283,482.26226878893397,482.2406881269176,482.24895029297886
0.12000000000000001,-1.8635850189532945e-05,1.5204728991315965e-07,10.02314413098512,6.2827581787707985,0.0020129821640466616,0.0,-0.000660753920151433,-8.206449032377732e-06,0.27360282939892944,-0.02851076842899685,0.030635565270919457,0.0,412.44603012557013,413.2255954793143,413.1968389123361,410.6664536926495
0.18,-0.00010461516699634282,-1.450543542924142e-05,10.041253427217933,6.281287934490065,0.0044946516645687495,0.0,-0.002417123982686245,-0.0006313763490995535,0.3300245667480892,-0.017501654174909453,0.05701067449993192,0.0,421.7265927640671,423.99917778629066,422.53882330695416,423.4865476051246
0.23999999999999996,-0.0003564087278228128,-9.574606649339273e-05,10.064221625932937,6.280442026660049,0.007880525575470365,0.0,-0.00632579169578395,-0.002173281088744988,0.43554492396523015,-0.008038564331769249,0.05524690692534265,0.0,438.9085721701698,438.7644069689847,438.3389039379792,439.12457019265537
0.3,-0.0009170569073195137,-0.0002866495243651456,10.094023794182075,6.279733625765253,0.01088206264671232,0.0,-0.012697623534288027,-0.004251303230744975,0.5578051541065441,-0.020673018209845326,0.036730007467851475,0.0,444.75983043820946,443.24242841317135,444.78671220253386,443.75105118411966
0.36000000000000004,-0.001905211660744039,-0.000615530499659952,10.129864886845988,6.278390760321482,0.013233612737087341,0.0,-0.020466096037707007,-0.006838745523946892,0.6368535375681603,-0.0260365734505895,0.04371025627870429,0.0,430.0650927703766,430.65664882403047,430.9767134960567,430.52315826160464
0.4200000000000001,-0.0034144741526806917,-0.0011299578915192252,10.17092316098652,6.276366661124342,0.015789233284488446,0.0,-0.03010414502879599,-0.010481852712367429,0.7316944324866614,-0.05724151068400268,0.04026209614395994,0.0,436.58604029615856,436.2993172335123,436.30080325508686,433.68733299947195
0.48000000000000015,-0.005603093064893842,-0.0019344782337424539,10.22071305732015,6.272629631710156,0.018207998901384137,0.0,-0.04312860071505138,-0.016748157450653105,0.9278217195428718,-0.07498714749724417,0.040413870217256086,0.0,467.6611805353021,467.6737521450905,467.0574605121628,465.6688568020408
0.5400000000000001,-0.008584666999207376,-0.0031791879722814533,10.279772927782316,6.267904524601931,0.021383384247080528,0.0,-0.05655427570538391,-0.02521888659536197,1.040732310375221,-0.08760201768398537,0.07042753768013107,0.0,441.4338263472704,443.9050035550885,441.689677105059,440.6431177503886
0.6000000000000002,-0.012471052839672477,-0.005053578523144917,10.34678495828947,6.262240976790103,0.025858066420545,0.0,-0.07346728493543085,-0.03785105498014481,1.1928335542876916,-0.1135868865005092,0.08179743906855917,0.0,454.1222082734331,455.03738305763125,455.1050486841453,453.01291699070066
0.6600000000000003,-0.01742412463025954,-0.007776175043442722,10.421040409449025,6.255708647232346,0.030295423709348235,0.0,-0.09211069254990553,-0.053568583169607616,1.282221892674677,-0.10081053069794546,0.0496983352220098,0.0,436.4500225623335,433.7670924806656,434.55788208047863,435.61660058066985
0.7200000000000003,-0.023704525035982756,-0.011687964472049181,10.504707489965663,6.2492522922140346,0.03374542061188279,0.0,-0.11761924409965813,-0.07756216677407243,1.5063760558500021,-0.12681802711171805,0.0697478852399411,0.0,476.34502229744027,477.8775756348953,476.8821112785863,474.8817906026292
0.7800000000000004,-0.03148566333499557,-0.01708244573509827,10.598379863537788,6.24148741023302,0.03762725724646643,0.0,-0.14216721845942637,-0.10304226019863079,1.615840866603381,-0.13518557437505485,0.05196706764750648,0.0,443.9805527924244,442.5224477973262,441.9530978499967,441.2474254103787
0.8400000000000004,-0.04078024893615904,-0.024126625271460384,10.697623435711407,6.2340244066009305,0.04147133273866377,0.0,-0.1679986630964905,-0.13251948471482772,1.6921165044192596,-0.10866051952244073,0.08115919436048732,0.0,431.59367456180456,434.05323251333607,430.64559637787784,432.86819334680973
0.9000000000000005,-0.051642214619851246,-0.03300602862089448,10.799904941586984,6.227589213277117,0.04631438222280604,0.0,-0.1945077816564829,-0.1640466020656507,1.7171747762750742,-0.10457976214750592,0.07981969754775853,0.0,415.4227803576662,415.31107194948737,416.112306163777,416.458398478659
0.9600000000000005,-0.06437609335566742,-0.04412529179016876,10.907743395318132,6.221522083565532,0.05101204905253809,0.0,-0.23047049929280533,-0.2072633149814664,1.877117877546707,-0.09497147499849547,0.07505681936500094,0.0,459.8670496042634,459.4943098636118,458.03030053557603,458.78519366148487
1.0200000000000005,-0.07939508891647039,-0.05799731193651493,11.025596351265904,6.21663019812172,0.05567494825341335,0.0,-0.2706669451952214,-0.2557056930905785,2.050941947296892,-0.06311972369271328,0.08255928154267761,0.0,463.6539498235368,464.24747029229053,462.6494102417061,465.1447749655017
1.0800000000000005,-0.0968377566987991,-0.07476557463325756,11.152153742793956,6.21270804941031,0.06014821821405647,0.0,-0.31124679566931973,-0.3036227816953094,2.1673543546007843,-0.07029463344452055,0.04938695345660793,0.0,447.9926538995426,445.2913480861431,447.8507160804795,447.2636333267973
1.1400000000000006,-0.11683823554962616,-0.09453528724323318,11.286272344624239,6.208056298740868,0.06315219655712845,0.0,-0.35574179654066856,-0.3558166613464148,2.3029321887669654,-0.09871983406595934,0.05139106899480949,0.0,453.55486276191584,453.71730643472273,454.81019999406453,452.52288906381995
1.2000000000000006,-0.1392700656709355,-0.11718084774403632,11.423747187435415,6.202005016535756,0.06655462944033896,0.0,-0.3922643119628543,-0.39953984676898174,2.2795378598090497,-0.10550433889249707,0.06564293877075938,0.0,401.64848113179204,402.94144963101655,402.8958714400259,402.27202128412733
1.2600000000000007,-0.16416943405678894,-0.14281619995594944,11.562986254229946,6.1957594701255925,0.07082420483076657,0.0,-0.43811564990756635,-0.45558135924051135,2.361495548267616,-0.10141058566017602,0.08037821082894953,0.0,438.2864583709514,439.51327717684995,436.21632105698603,436.5483602493424
1.3200000000000007,-0.19215810609365494,-0.1722447449062832,11.71057214424211,6.18985076447002,0.07549297795049359,0.0,-0.49536509627008635,-0.5260263332541596,2.5574803437792943,-0.09318257471780761,0.07211674991152431,0.0,472.88616168137384,472.25377384872684,473.76384745339124,474.38834137398015
1.3800000000000008,-0.2234422780983777,-0.20573107044372796,11.866661053608997,6.184216825651605,0.0795991437815573,0.0,-0.547852474961493,-0.5907263605724522,2.6451643442536046,-0.09537059991639181,0.059818648362329474,0.0,441.6308250196503,440.61882842022203,441.4608643356534,441.27274547515844
1.4400000000000008,-0.25782938919067616,-0.24305505510395115,12.026408205399461,6.178929201705131,0.0829764737785803,0.0,-0.5987046630661755,-0.6539036377546978,2.679548893695066,-0.07658854076357066,0.04808509889322065,0.0,425.3363207315514,424.33253434257006,423.6569395121544,425.26174180844544
1.5000000000000009,-0.29549199325480846,-0.2844684490339737,12.19012386816591,6.173943209970972,0.08629546411663291,0.0,-0.6570185418291669,-0.7270002715649033,2.7772858290200086,-0.10113115327873565,0.06684243981952477,0.0,445.12782406913726,446.662156420531,446.18940075009965,444.17529360873203
1.560000000000001,-0.3366422868968828,-0.33026928515120074,12.358714577635217,6.167769472917357,0.09058702013125686,0.0,-0.7150518074491893,-0.8002676109206187,2.842094413335261,-0.10667787194228234,0.07954392938458303,0.0,435.45494572284406,436.52015917344585,435.8948811590932,435.4216455091284
